ID,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
5524,0,0,0,0,0,0,3,11,1
2174,0,0,0,0,0,0,3,11,0
4141,0,0,0,0,0,0,3,11,0
6182,0,0,0,0,0,0,3,11,0
5324,0,0,0,0,0,0,3,11,0
7446,0,0,0,0,0,0,3,11,0
965,0,0,0,0,0,0,3,11,0
6177,0,0,0,0,0,0,3,11,0
4855,0,0,0,0,0,0,3,11,1
5899,1,0,0,0,0,0,3,11,0
1994,0,0,0,0,0,0,3,11,0
387,0,0,0,0,0,0,3,11,0
2125,0,0,0,0,0,0,3,11,0
8180,0,0,0,0,0,0,3,11,0
2569,0,0,0,0,0,0,3,11,0
2114,0,0,1,1,0,0,3,11,1
9736,0,0,0,0,0,0,3,11,0
4939,0,0,0,0,0,0,3,11,0
6565,0,0,0,1,0,0,3,11,0
2278,0,0,0,0,0,0,3,11,0
9360,0,0,0,0,0,0,3,11,0
5376,0,0,0,0,0,0,3,11,0
1993,0,1,0,0,0,0,3,11,0
4047,0,0,0,0,0,0,3,11,0
1409,0,0,0,0,0,0,3,11,0
7892,0,0,0,0,0,0,3,11,0
2404,0,0,0,0,0,0,3,11,0
5255,0,0,0,0,0,0,3,11,0
9422,0,0,0,0,0,0,3,11,0
1966,0,0,1,0,0,0,3,11,0
6864,0,0,0,0,0,0,3,11,0
3033,0,0,0,0,0,0,3,11,0
5710,0,1,0,0,0,0,3,11,0
7373,0,0,0,0,0,0,3,11,1
8755,0,0,0,0,0,0,3,11,0
10738,0,0,0,0,0,0,3,11,0
4339,0,0,0,0,0,0,3,11,0
10755,0,0,0,0,0,0,3,11,0
8595,0,0,0,0,0,0,3,11,0
2968,1,0,0,0,0,0,3,11,1
8601,0,0,0,0,0,0,3,11,0
503,0,0,0,0,0,0,3,11,0
8430,0,0,0,0,0,0,3,11,0
7281,0,0,0,0,0,0,3,11,0
2139,0,0,0,0,0,0,3,11,0
1371,0,0,0,0,0,0,3,11,0
9909,0,0,0,0,0,0,3,11,1
7286,0,0,0,0,0,0,3,11,0
7244,0,0,0,0,0,0,3,11,0
6566,0,0,0,0,0,0,3,11,0
8614,0,0,0,0,0,0,3,11,0
4114,0,0,0,0,0,0,3,11,0
1331,0,0,0,0,0,0,3,11,0
2225,1,0,0,1,0,0,3,11,1
9381,0,0,0,0,0,0,3,11,0
6260,0,0,1,0,0,0,3,11,1
10383,0,0,0,0,0,0,3,11,1
7437,0,0,0,0,0,0,3,11,0
8557,0,0,0,0,0,0,3,11,0
8375,0,0,0,0,0,0,3,11,0
6853,0,1,1,0,0,0,3,11,1
3076,0,0,0,0,0,0,3,11,0
1012,0,0,0,0,0,0,3,11,0
6518,0,0,0,0,0,0,3,11,0
4137,0,0,0,0,0,0,3,11,0
8082,0,0,0,0,0,0,3,11,1
1386,0,0,0,0,0,0,3,11,0
9369,1,0,0,1,0,0,3,11,1
4477,0,0,0,0,0,0,3,11,0
1357,0,0,0,0,0,0,3,11,0
1402,0,0,0,0,0,0,3,11,0
10629,0,0,0,0,0,0,3,11,0
6312,0,0,0,0,0,0,3,11,0
8132,0,1,0,0,0,0,3,11,0
1050,0,0,0,0,0,0,3,11,0
5846,0,0,0,0,0,0,3,11,0
1859,0,0,0,0,0,0,3,11,1
7503,1,0,0,0,0,0,3,11,1
10401,0,0,0,0,0,1,3,11,0
1618,1,0,0,0,0,0,3,11,1
3332,0,0,0,0,0,0,3,11,0
2261,0,0,0,0,0,0,3,11,0
5346,0,0,0,0,0,0,3,11,0
4119,0,0,0,0,0,0,3,11,0
535,0,0,0,0,0,0,3,11,0
5268,0,0,0,0,0,0,3,11,0
273,0,1,0,0,0,0,3,11,0
4452,0,1,0,1,0,0,3,11,1
8504,0,0,1,0,0,0,3,11,0
771,0,0,0,0,0,0,3,11,0
8996,0,0,0,0,0,0,3,11,0
9235,0,0,0,0,0,0,3,11,0
5798,0,0,0,0,0,0,3,11,0
11178,0,0,0,0,0,0,3,11,0
2230,0,0,0,0,0,0,3,11,0
7516,0,0,0,0,0,0,3,11,0
7247,0,1,0,0,0,0,3,11,0
11100,0,0,0,0,0,0,3,11,0
4646,0,0,0,1,0,0,3,11,0
3037,0,0,0,0,0,0,3,11,0
1473,0,0,0,0,0,0,3,11,0
1016,0,0,0,0,0,0,3,11,0
4518,0,0,0,0,0,0,3,11,0
9370,0,0,0,0,0,0,3,11,0
8908,0,0,0,0,0,0,3,11,1
8373,0,0,0,0,0,0,3,11,0
7533,0,0,0,0,0,0,3,11,0
2683,0,0,0,0,0,0,3,11,0
3629,0,0,0,0,0,0,3,11,0
10991,0,0,0,0,0,0,3,11,0
5077,0,0,0,0,0,0,3,11,0
7431,0,1,0,0,0,0,3,11,1
3267,0,1,0,0,0,0,3,11,0
999,0,1,1,0,0,0,3,11,1
9215,0,0,0,0,0,0,3,11,0
2286,0,0,0,0,0,0,3,11,0
1592,0,0,1,1,0,0,3,11,0
367,0,0,0,0,0,0,3,11,0
5234,0,0,0,0,0,0,3,11,0
9862,0,0,0,0,0,0,3,11,0
9805,0,0,0,0,0,0,3,11,0
6205,0,0,0,0,0,0,3,11,1
8442,0,0,0,0,0,0,3,11,0
7386,0,0,0,0,0,0,3,11,0
7215,0,1,1,1,0,0,3,11,1
1491,0,0,0,0,0,0,3,11,0
11071,0,0,0,0,0,0,3,11,1
3381,0,0,0,0,0,0,3,11,0
8268,0,0,0,0,0,0,3,11,0
11051,0,0,0,0,0,0,3,11,0
8026,0,0,0,0,0,0,3,11,0
433,0,0,0,0,0,0,3,11,0
9597,0,0,0,0,0,0,3,11,0
1295,0,0,0,0,0,0,3,11,0
5290,0,0,0,0,0,0,3,11,0
1685,0,1,0,0,0,0,3,11,0
5342,0,0,0,0,0,0,3,11,0
9579,0,0,0,0,0,0,3,11,0
7660,1,0,0,0,0,0,3,11,1
1461,0,0,0,0,0,0,3,11,0
821,0,0,0,0,0,0,3,11,0
11084,0,0,0,0,0,0,3,11,1
8690,0,0,0,0,0,0,3,11,0
2937,0,0,0,0,0,0,3,11,0
9701,0,0,0,0,0,0,3,11,0
9949,0,0,0,0,0,0,3,11,0
10837,0,0,0,0,0,0,3,11,1
3120,0,0,0,0,0,1,3,11,0
5885,0,0,0,0,0,0,3,11,0
4050,0,0,0,0,0,0,3,11,0
3830,0,0,0,0,0,0,3,11,0
7987,0,1,0,0,0,0,3,11,0
7798,0,0,0,0,0,0,3,11,0
92,0,0,0,0,0,0,3,11,0
7055,0,0,0,0,0,0,3,11,0
10240,0,1,1,0,0,0,3,11,1
3025,0,0,0,0,0,0,3,11,0
9283,0,0,0,0,0,0,3,11,0
9970,0,0,0,0,0,0,3,11,0
2730,0,0,0,0,0,0,3,11,0
2795,0,0,0,0,0,0,3,11,0
9260,0,0,0,0,0,0,3,11,0
8182,0,0,0,0,0,0,3,11,0
10095,0,0,0,0,0,0,3,11,0
8475,0,0,0,0,0,0,3,11,0
4370,0,0,0,0,0,0,3,11,0
10573,1,0,0,0,0,0,3,11,0
3712,0,1,0,0,0,0,3,11,0
6637,0,0,0,0,0,0,3,11,0
3152,0,0,0,0,0,0,3,11,0
5610,0,0,0,0,0,0,3,11,0
6460,0,0,0,0,0,0,3,11,0
1349,0,0,0,0,0,0,3,11,0
1880,0,0,0,0,0,0,3,11,0
641,1,0,0,0,0,0,3,11,0
8717,0,0,0,0,0,0,3,11,0
10314,0,1,0,1,0,0,3,11,1
10854,0,0,0,0,0,0,3,11,0
10492,0,0,0,0,0,0,3,11,0
6935,0,0,0,1,0,0,3,11,0
7698,0,0,0,0,0,0,3,11,0
3559,0,0,0,0,0,0,3,11,0
10562,0,0,0,0,0,0,3,11,0
10796,0,0,0,0,0,0,3,11,0
2563,0,0,0,0,0,0,3,11,0
3518,0,0,0,0,0,0,3,11,0
5823,0,0,0,0,0,0,3,11,0
3934,0,0,0,0,0,0,3,11,0
6982,0,0,0,0,0,0,3,11,0
6431,0,0,0,0,0,0,3,11,0
9733,1,0,0,0,0,0,3,11,0
5602,0,0,0,0,0,0,3,11,0
7829,0,0,0,0,0,1,3,11,0
1324,0,0,0,0,0,0,3,11,0
326,0,0,0,0,0,0,3,11,0
7224,0,0,0,0,0,0,3,11,0
6999,0,0,0,0,0,0,3,11,0
9938,0,0,1,0,0,0,3,11,0
6422,0,0,0,0,0,0,3,11,0
3182,1,0,0,0,0,0,3,11,1
7300,0,1,0,0,0,0,3,11,0
10424,0,0,0,0,0,0,3,11,0
8727,0,0,0,0,0,0,3,11,0
2798,0,1,1,1,0,0,3,11,1
1030,0,0,0,0,0,0,3,11,0
624,1,0,0,0,0,0,3,11,1
5176,1,0,0,0,0,0,3,11,0
5552,0,0,0,0,0,0,3,11,0
868,0,0,0,0,0,0,3,11,0
380,1,0,0,0,0,0,3,11,1
2677,0,0,0,0,0,0,3,11,0
6521,0,0,0,0,0,0,3,11,0
