ID,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth
5524,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7
2174,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5
4141,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4
6182,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6
5324,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5
7446,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6
965,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6
6177,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8
4855,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9
5899,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20
1994,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7
387,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8
2125,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2
8180,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6
2569,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8
2114,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3
9736,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8
4939,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7
6565,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5
2278,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6
9360,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8
5376,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1
1993,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8
4047,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4
1409,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8
7892,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7
2404,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7
5255,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1
9422,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3
1966,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2
6864,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5
3033,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3
5710,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5
7373,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6
8755,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7
10738,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7
4339,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2
10755,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7
8595,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5
2968,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6
8601,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4
503,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8
8430,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5
7281,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2
2139,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5
1371,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1
9909,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9
7286,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10
7244,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6
6566,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8
8614,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2
4114,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3
1331,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7
2225,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1
9381,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3
6260,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1
10383,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3
7437,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3
8557,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6
8375,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7
6853,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1
3076,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3
1012,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7
6518,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5
4137,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4
8082,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7
1386,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7
9369,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5
4477,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4
1357,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5
1402,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3
10629,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8
6312,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7
8132,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7
1050,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2
5846,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6
1859,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5
7503,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4
10401,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3
1618,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8
3332,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8
2261,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7
5346,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7
4119,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3
535,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1
5268,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7
273,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7
4452,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7
8504,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2
771,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2
8996,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9
9235,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7
5798,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1
11178,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7
2230,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5
7516,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6
7247,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6
11100,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7
4646,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2
3037,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5
1473,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8
1016,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6
4518,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5
9370,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4
8908,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1
8373,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5
7533,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7
2683,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6
3629,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7
10991,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2
5077,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3
7431,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9
3267,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6
999,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3
9215,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7
2286,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6
1592,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1
367,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9
5234,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5
9862,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6
9805,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4
6205,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5
8442,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7
7386,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7
7215,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2
1491,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1
11071,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1
3381,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6
8268,2013-07-11,23,352,0,27,10,0,15,3,6,1,7,6
11051,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4
8026,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5
433,2013-03-10,42,534,5,47,0,5,41,5,11,1,6,8
9597,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,4
1295,2013-08-11,96,231,65,196,38,71,124,1,6,5,7,4
5290,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8
